Angle,IntersectionArea_Pixels²
10.19,595.8941432376961
10.2,596.1078118110523
10.21,596.3222406916403
10.22,596.5374814524879
10.23,596.7534616347062
10.24,596.9700558948566
10.25,597.1872356066997
10.26,597.4049455498194
10.27,597.6231586193105
10.28,597.8418753620482
10.29,598.061092862648
10.3,598.2807664606767
10.31,598.500937347014
10.32,598.7216267251304
10.33,598.9428351667724
10.34,599.1645532852996
10.35,599.3866868855597
10.36,599.6091770758403
10.37,599.8320240785412
10.38,600.0552212002473
10.39,600.2787364636735
10.4,600.5025865839248
10.41,600.7268283962483
10.42,600.9514658478718
10.43,601.1764995298109
10.44,601.4018985391386
10.45,601.6275304693452
10.46,601.8533807170122
10.47,602.0794498711672
10.48,602.3057374145457
10.49,602.5322200474642
10.5,602.7589363999841
10.51,602.9859177099563
10.52,603.2131645922872
10.53,603.4406404399737
10.54,603.668190031661
10.55,603.8957904806208
10.56,604.1234423967494
10.57,604.3511463841326
10.58,604.5789030409163
10.59,604.8067233718579
10.6,605.0346439115656
10.61,605.2624910175441
10.62,605.4902116906335
10.63,605.7177566912633
10.64,605.9450916950999
10.65,606.1722173247819
10.66,606.3991995324226
10.67,606.6261688711993
10.68,606.8531295262085
10.69,607.0801151491788
10.7,607.3076836726121
10.71,607.5362257358347
10.72,607.7657111866678
10.73,607.9960830112562
10.74,608.2273406533551
10.75,608.4596548114113
10.76,608.693300987538
10.77,608.9282837375999
10.78,609.1646060286635
10.79,609.4023216752097
10.8,609.6414542535816
10.81,609.8819947242011
10.82,610.1240576040797
10.83,610.3677512365891
10.84,610.6131315633247
10.85,610.860203647014
10.86,611.1089683713592
10.87,611.3594266146636
10.88,611.6115914790942
10.89,611.8655233914075
10.9,612.121350630176
10.91,612.3790893884469
10.92,612.6387195563505
10.93,612.9002420942876
10.94,613.1636771006634
10.95,613.4290788753077
10.96,613.6964515179316
10.97,613.965795974423
10.98,614.237141775873
10.99,614.5106154980882
11.0,614.7862565872894
11.01,615.0640257813742
11.02,615.3439241088107
11.03,615.6259525929111
11.04,615.9101123945483
11.05,616.1964486631845
11.06,616.4849974569095
11.07,616.7757604913434
11.08,617.0687858336685
11.09,617.3641377607133
11.1,617.6618390737934
11.11,617.9618886409584
11.12,618.2642875516199
11.13,618.569036889992
11.14,618.8761382761106
11.15,619.1856490140553
11.16,619.4976078185111
11.17,619.8120212316877
11.18,620.1289369197491
11.19,620.4483085231818
11.2,620.7702025470571
11.21,621.0946701460251
11.22,621.4217124708151
11.23,621.7513345832585
11.24,622.0836274601614
11.25,622.4186297128194
11.26,622.7563424827886
11.27,623.0967789293577
11.28,623.439942125536
11.29,623.7858106037521
11.3,624.1343855684303
11.31,624.4857908996956
11.32,624.8402517281925
11.33,625.1977743672879
11.34,625.5583600407278
11.35,625.9220099673321
11.36,626.2887128474273
11.37,626.6583162799258
11.38,627.0307788450317
11.39,627.4061029118028
11.4,627.784120392698
11.41,628.1641684462345
11.42,628.5461816040739
11.43,628.9302385338823
11.44,629.3163920999926
11.45,629.7046058593081
11.46,630.0945363330535
11.47,630.4860761341342
